orden;sitios;codigo;fecha;A駉;Campa馻;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
1;Canal Villa Nueva y R铆o Luj谩n;TI001;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
2;R铆o Lujan y Arroyo Caraguat谩;TI006;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
3;Canal Aliviador y R铆o Lujan;TI002;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
4;R铆o Carapachay y Arroyo Gallo Fiambre;TI003;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
5;R铆o Reconquista y R铆o Lujan;TI004;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
6;Rio Tigre 100m antes del Rio Luj谩n;TI005;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
7;R铆o Lujan y Canal San Fernando;TI007;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
8;R铆o Capit谩n y R铆o San Antonio;TI008;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
9;Arroyo Abra Vieja y Santa Rosa;TI009;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
10;Del Arca;SF015;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
11;Espig贸n La Farola;SI021;11/3/2015;2015;verano;28;;4.54;7.87;;;;;;;;;;;;;;;;;;;;;
12;Reserva Ecol贸gica;SI022;11/3/2015;2015;verano;29;;5.57;7.92;;;;;;;;;;;;;;;;;;;;;
13;Playa Espig贸n de Pacheco;SI024;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
14;Per煤 Puente;SI023;11/3/2015;2015;verano;26;;4.98;8.01;;;;;;;;;;;;;;;;;;;;;
15;Reserva Barrio El Ceibo ;VL033;11/3/2015;2015;verano;30;;7.3;6.8;;;;;23;;;4.4;;;;;;;;;;;;;
16;Puerto de Olivos Espig贸n;VL032;11/3/2015;2015;verano;27;;5.3;7.51;;;;;23;;;2.7;;;;;;;;;;;;;
17;Costa y Melo;VL031;11/3/2015;2015;verano;29;;7.3;8.4;;;;;23;;;3.6;;;;;;;;;;;;;
18;Parque de los Ni帽os;CA041;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
19;Costanera Norte - Espig贸n Abanico;CA044;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
20;Club de Pescadores;CA046;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
21;Reserva Ecol贸gica Costanera Sur - Playita;CA047;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
22;Escollera de Propaneros;AV054;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
23;Polo Petroqu铆mico Dock Sud;AV051;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
24;Arroyo Sarand铆;AV052;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
25;Costa de Villa Dom铆nico     ;AV055;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
26;Arroyo Santo Domingo;AV053;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
27;Espora 400 m;QU061;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
28;N谩utico 400 m;QU062;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
29;Pejerrey Club 400 m;QU063;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
30;Calle 14 y Costa - Salida cloaca;BZ078;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
31;Puerto Trinidad calle 47;BZ077;No se muestre贸;2015;verano;;;;;;;;;;;;;;;;;;;;;;;;;
32;Costanera Hudson Calle 63;BZ080;11/3/2015;2015;verano;25.5;;7.5;7.34;;;;;;;;;;;;;;;;;;;;;
