orden;sitios;codigo;fecha;A�o;Campa�a;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
1;Canal Villanueva y Río Luján;TI001;30/3/2016;2016;verano;;;;;;;;;15000;600;;3.99;<0.05;;;;25;;;;;;;31;Extremadamente deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;30/3/2016;2016;verano;;;;;;;;;23000;200;;5.32;<0.05;;;;14;;;;;;;30;Extremadamente deteriorada
3;Canal Aliviador y Río Lujan;TI002;30/3/2016;2016;verano;;;;;;;;;10000;700;;4.43;0.12;;;;10;;;;;;;32;Extremadamente deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;30/3/2016;2016;verano;;;;;;;;;10000;400;;3.99;<0.05;;;;18;;;;;;;32;Extremadamente deteriorada
5;Río Reconquista y Río Lujan;TI004;30/3/2016;2016;verano;;;;;;;;;4500;4200;;9.3;0.3;;;;48;;;;;;;18;Extremadamente deteriorada
6;Rio Tigre 100m antes del Rio Luján;TI005;30/3/2016;2016;verano;;;;;;;;;36000;30000;;18.61;0.77;;;;60;;;;;;;16;Extremadamente deteriorada
7;Río Lujan y Canal San Fernando;TI007;30/3/2016;2016;verano;;;;;;;;;35000;30000;;15.06;0.29;;;;10;;;;;;;16;Extremadamente deteriorada
8;Río Capitán y Río San Antonio;TI008;30/3/2016;2016;verano;;;;;;;;;7000;100;;6.2;<0.05;;;;14;;;;;;;43;Extremadamente deteriorada
9;Arroyo Abra Vieja y Santa Rosa;TI009;30/3/2016;2016;verano;;;;;;;;;10000;100;;5.76;<0.05;;;;71;;;;;;;42;Extremadamente deteriorada
10;Del Arca;SF015;30/3/2016;2016;verano;23;;3.85;7.68;;;;;35000;3000;;-;0.27;;;;<10;;;;;;;30;Extremadamente deteriorada
11;Espigón La Farola;SI021;30/3/2016;2016;verano;23;;4.92;7.66;;;;;400;400;;7.09;0.23;;;;14;;;;;;;59;Muy deteriorada
12;Reserva Ecológica;SI022;30/3/2016;2016;verano;24;;8.9;7.67;;;;;2600;2600;;7.09;0.24;;;;10;;;;;;;46;Muy deteriorada
13;Playa Espigón de Pacheco;SI024;30/3/2016;2016;verano;24;;4.73;7.76;;;;;28000;500;;7.97;0.26;;;;<10;;;;;;;34;Extremadamente deteriorada
14;Perú Puente;SI023;30/3/2016;2016;verano;24.5;;3.3;7.74;;;;;40000;6600;;15.06;1.44;;;;60;;;;;;;27;Extremadamente deteriorada
15;Reserva Barrio El Ceibo ;VL033;30/3/2016;2016;verano;22.8;;5.7;7.41;;;;;15000;4000;;14.18;0.22;;;;37;;;;;;;40;Extremadamente deteriorada
