orden;sitios;codigo;fecha;Año;Campaña;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
1;Canal Villanueva y Río Luján;TI001;8/3/2017;2017;verano; ;;6.01;7.61;;;;;3000;700;;5.32;<0.05;;;15;28;0.21;;;;;;;
2;Río Lujan y Arroyo Caraguatá;TI006;8/3/2017;2017;verano; ;;6.54;7.12;;;;;34000;9000;;3.15;2.8;;;15;28;0.3;;;;;;;
3;Canal Aliviador y Río Lujan;TI002;8/3/2017;2017;verano; ;;4.8;7.8;;;;;6000;800;;3.99;<0.05;;;28;40;0.29;;;;;;;
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;8/3/2017;2017;verano; ;;5.89;7.2;;;;;6000;300;;3.72;<0.05;;;5;15;0.21;;;;;;;
5;Río Reconquista y Río Lujan;TI004;8/3/2017;2017;verano; ;;4.5;7;;;;;4000;400;;3.99;0.7;;;23;35;0.4;;;;;;;
6;Rio Tigre 100m antes del Rio Luján;TI005;8/3/2017;2017;verano; ;;5.53;7;;;;;26000;8000;;4.87;2.6;;;15;48;0.7;;;;;;;
7;Río Lujan y Canal San Fernando;TI007;8/3/2017;2017;verano; ;;4.44;7.94;;;;;33000;8500;;8.86;3.1;;;10;35;0.3;;;;;;;
8;Río Capitán y Río San Antonio;TI008;8/3/2017;2017;verano; ;;6.82;7.34;;;;;4000;100;;6.65;<0.05;;;10;32;0.24;;;;;;;
9;Arroyo Abra Vieja y Santa Rosa;TI009;8/3/2017;2017;verano; ;;6.46;7.36;;;;;3000;200;;4.43;<0.05;;;15;25;0.23;;;;;;;
10;Del Arca;SF015;8/3/2017;2017;verano; ;; ; ;;;;; ; ;; ; ;;; ; ; ;;;;;;;
11;Espigón La Farola;SI021;8/3/2017;2017;verano;24.8;;5.75;7.53;;;;;3000;600;;6.2;0.5;;;9;18;<0.1;;;;;;;
12;Reserva Ecológica;SI022;8/3/2017;2017;verano;24.3;;7.36;7.77;;;;;4000;1000;;6.2;0.5;;;15;28;0.11;;;;;;;
13;Playa Espigón de Pacheco;SI024;8/3/2017;2017;verano;24;;7.93;8.19;;;;;6600;1000;;12.4;0.3;;;14;28;0.1;;;;;;;
14;Perú Puente;SI023;8/3/2017;2017;verano;23.8;;4.45;7.61;;;;;30000;28000;;25.25;5;;;3;21;<0.1;;;;;;;
15;Reserva Barrio El Ceibo ;VL033;8/3/2017;2017;verano;22.9;;6.9;7.44;;;;;20000;4800;;9.3;2.4;;;15;28;<0.1;;;;;;;
16;Puerto de Olivos Espigón;VL032;8/3/2017;2017;verano;23.6;;7;7.11;;;;;4200;3000;;13.29;0.1;;;15;25;<0.1;;;;;;;
17;Costa y Melo;VL031;8/3/2017;2017;verano;23.8;;7.8;7.45;;;;;20800;11200;;11.08;0.2;;;10;22;<0.1;;;;;;;
18;Parque de los Niños;CA041;8/3/2017;2017;verano;23.9;;8.1;8.0;;;;;4000;4000;;6;0.6;;;5;;;;;;;;;
19;Costanera Norte - Espigón Abanico;CA044;8/3/2017;2017;verano;23.7;;4.9;7.6;;;;;6000;5500;;6;0.6;;;5;;;;;;;;;
20;Club de Pescadores;CA046;8/3/2017;2017;verano;23.6;;5.5;7.7;;;;;8000;8000;;2;0.6;;;5;;;;;;;;;
21;Reserva Ecológica Costanera Sur - Playita;CA047;8/3/2017;2017;verano;24.9;;5.3;7.8;;;;;7000;7000;;4;0.5;;;5;;;;;;;;;
22;Escollera de Propaneros;AV054;8/3/2017;2017;verano;25.9;;2.28;6.1;;;;;22000;5200;;7.09;1.3;;;16;32;0.27;;;;;;;
23;Polo Petroquímico Dock Sud;AV051;8/3/2017;2017;verano;24.7;;6.62;6.3;;;;;8600;4200;;4.87;0.5;;;6;18;0.31;;;;;;;
24;Arroyo Sarandí;AV052;8/3/2017;2017;verano;25.2;;5.6;6.4;;;;;7200;1700;;33.23;1.3;;;8;15;0.27;;;;;;;
25;Costa de Villa Domínico     ;AV055;8/3/2017;2017;verano;25.5;;7.52;6.7;;;;;11600;2000;;10.19;1.2;;;22;30;0.12;;;;;;;
26;Arroyo Santo Domingo;AV053;8/3/2017;2017;verano;25.5;;1.29;6.9;;;;;24000;2800;;10.63;1.2;;;10;21;0.25;;;;;;;
27;Espora 400 m;QU061;8/3/2017;2017;verano; ;; ; ;;;;; ; ;; ; ;;; ; ; ;;;;;;;
28;Náutico 400 m;QU062;8/3/2017;2017;verano;26;;7.14;7.46;;;;;3400;800;;13.29;<0.05;;;30;45;0.6;;;;;;;
29;Pejerrey Club 400 m;QU063;8/3/2017;2017;verano; ;; ; ;;;;; ; ;; ; ;;; ; ; ;;;;;;;
30;Calle 14 y Costa - Salida cloaca;BZ078;8/3/2017;2017;verano;20.5;;9.04;8.04;;;;;4600;1400;;11.08;0.3;;;16;33;<0.1;;;;;;;
31;Puerto Trinidad calle 47;BZ077;8/3/2017;2017;verano; ;; ; ;;;;; ; ;; ; ;;; ; ; ;;;;;;;
32;Costanera Hudson Calle 63;BZ080;8/3/2017;2017;verano;20.5;;7.62;7.56;;;;;3500;400;;7.97;<0.05;;;24;49;0.23;;;;;;;
33;Camping Eva Perón;EN081;8/3/2017;2017;verano;22.8;;8.22;8.18;;;;;6000;200;;9.75;<0.05;;;10;25;0.36;;;;;;;
34;Toma de agua Club de Pesca;EN082;8/3/2017;2017;verano;23.6;;6.53;7.85;;;;;3000;200;;11.96;<0.05;;;15;32;0.41;;;;;;;
35;Arroyo El Gato;EN083;8/3/2017;2017;verano;23.9;;0.78;7.87;;;;;16000;4000;;4.87;2.6;;;25;48;0.32;;;;;;;
36;Ensenada Prefectura Isla Santiago;EN084;8/3/2017;2017;verano;23.1;;4.67;7.62;;;;;3400;200;;10.63;<0.05;;;10;24;0.2;;;;;;;
37;Balneario Palo Blanco;BS092;8/3/2017;2017;verano; ;; ; ;;;;; ; ;; ; ;;; ; ; ;;;;;;;
38;Diagonal 66 (descarga cloaca);BS095;8/3/2017;2017;verano;22;;3.09;8.05;;;;;19000;4000;;4.43;2.6;;;30;102;0.95;;;;;;;
39;Playa La Bagliardi;BS091;8/3/2017;2017;verano; ;; ; ;;;;; ; ;; ; ;;; ; ; ;;;;;;;
40;Balneario Municipal;BS094;8/3/2017;2017;verano;19;;6.42;8.13;;;;;5000;1500;;16.39;<0.05;;;10;55;1.1;;;;;;;
