orden;sitios;codigo;fecha;Año;Campaña;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
1;Canal Villanueva y Río Luján;TI001;21/3/2018;2018;verano;23;;8.05;7.7;;;;;2250;290;10;4.69;0.05;0.5;0.5;13;36.3;501;8609.5;0.01;0.005;194;<50;36;Extremadamente deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;21/3/2018;2018;verano;20.7;;8.21;8.03;;;;;2180;210;10;5.89;0.05;0.5;0.5;5;27.9;397.5;953.5;0.01;0.005;875;<50;44;Extremadamente deteriorada
3;Canal Aliviador y Río Lujan;TI002;21/3/2018;2018;verano;23.1;;6.72;7.85;;;;;2560;1750;210;6.08;0.05;0.5;0.5;5;<10;336;375;0.01;0.005;1872;<50;39;Extremadamente deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;21/3/2018;2018;verano;23.7;;6.97;8.54;;;;;2560;1560;10;5.62;0.05;0.5;0.5;5;<10;367.5;50;0.01;0.005;1907;<50;42;Extremadamente deteriorada
5;Río Reconquista y Río Lujan;TI004;21/3/2018;2018;verano;21.1;;8.42;8.66;;;;;2340;1620;190;5.72;0.05;0.5;0.5;5;22.3;391.5;655;0.01;0.005;2659;<50;35;Extremadamente deteriorada
6;Rio Tigre 100m antes del Rio Luján;TI005;21/3/2018;2018;verano;20.6;;8.54;7.79;;;;;2140;1230;180;5.89;0.05;0.5;0.5;5;11.2;262.5;131;0.01;0.005;1942;<50;40;Muy deteriorada
7;Río Lujan y Canal San Fernando;TI007;21/3/2018;2018;verano;20.8;;7.46;7.52;;;;;2580;1250;110;5.83;0.05;0.5;0.5;5;<10;312;50;0.01;0.005;247;<50;46;Muy deteriorada
8;Río Capitán y Río San Antonio;TI008;21/3/2018;2018;verano;20.5;;7.73;8.33;;;;;1700;1480;80;5.48;0.06;0.5;0.5;5;<10;276;50;0.01;0.005;526;<50;46;Muy deteriorada
9;Arroyo Abra Vieja y Santa Rosa;TI009;21/3/2018;2018;verano;20.6;;9.58;7.76;;;;;1630;1260;70;5.78;0.08;0.5;0.5;5;<10;309;330;0.01;0.005;50;<50;47;
10;Del Arca;SF015;21/3/2018;2018;verano;21.6;;6.93;7.49;ausencia;;ausencia;;;;;;;;;;;;;;;;;;Muy deteriorada
11;Espigón La Farola;SI021;21/3/2018;2018;verano;21;;6.1;7.54;ausencia;ausencia;;;1500;450;10;6.59;0.05;0.5;0.5;5;<10;201;50;0.01;0.005;50;<50;60;Muy deteriorada
12;Reserva Ecológica;SI022;21/3/2018;2018;verano;21.5;;5.45;7.41;ausencia;ausencia;;;1810;380;10;7.22;0.05;0.5;0.5;5;<10;214.5;50;0.01;0.005;50;<50;59;Muy deteriorada
13;Playa Espigón de Pacheco;SI024;21/3/2018;2018;verano;21;;7.81;7.86;ausencia;ausencia;;;2410;1720;220;7.21;0.05;0.5;0.5;5;<10;121.5;50;0.01;0.005;50;<50;52;Muy deteriorada
14;Perú Puente;SI023;21/3/2018;2018;verano;22;;3.39;7.42;ausencia;ausencia;;;2510;1670;200;11;0.05;0.5;0.5;5;27.9;43.5;350;0.01;0.005;50;<50;49;Muy deteriorada
15;Reserva Barrio El Ceibo ;VL033;21/3/2018;2018;verano;20.8;;6.9;7.43;ausencia;presencia;ausencia;ausencia;2110;1530;100;7.33;0.05;0.5;0.5;5;27.9;67.5;602;0.01;0.005;998;<50;47;Muy deteriorada
16;Puerto de Olivos Espigón;VL032;21/3/2018;2018;verano;20.9;;7.4;7.44;ausencia;;presencia;;1980;1430;110;7.39;0.05;0.5;0.5;5;27.9;369;508;0.01;0.005;89;<50;45;Muy deteriorada
17;Costa y Melo;VL031;21/3/2018;2018;verano;20.8;;7.4;7.48;ausencia;;;;1750;1390;90;6.98;0.05;0.5;0.5;5;<10;93;50;0.01;0.005;50;<50;57;Extremadamente deteriorada
18;Parque de los Niños;CA041;21/3/2018;2018;verano;20.6;;4.8;7.3;;;;;7700;6800;1300;11;0.12;;0.2;5;37;52.3;;0.019;0.0019;;;38;Muy deteriorada
19;Costanera Norte - Espigón Abanico;CA044;21/3/2018;2018;verano;20.9;;5.7;7.5;;;;;1600;1600;650;7;0.12;;0.2;5;19;53.3;;0.019;0.0019;;;48;Extremadamente deteriorada
20;Club de Pescadores;CA046;21/3/2018;2018;verano;20.9;;7.1;7.5;;;;;9400;8900;3500;11;0.26;;0.2;5;19;40;;0.019;0.0019;;;40;Muy deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CA047;21/3/2018;2018;verano;21.7;;8.4;7.9;;;;;690;670;270;11;0.12;0.5;0.3;5;75;53;50;0.019;0.0019;2431;<50;46;Extremadamente deteriorada
22;Escollera de Propaneros;AV054;21/3/2018;2018;verano;25;;4.19;6.5;;ausente;ausencia;ausencia;1780;1250;110;4.5;0.21;0.5;0.5;5;<10;232.5;50;0.01;0.005;6818;<50;40;Extremadamente deteriorada
23;Polo Petroquímico Dock Sud;AV051;21/3/2018;2018;verano;24.5;;4.45;6.3;;ausente;ausencia;ausencia;1500;720;10;2.6;0.08;0.5;0.5;11;39;289.5;129;0.01;0.005;1557;<50;41;Muy deteriorada
24;Arroyo Sarandí;AV052;21/3/2018;2018;verano;24.9;;4.33;6.4;;ausente;ausencia;ausencia;1460;580;10;4.2;0.05;0.5;0.5;5;<10;162;50;0.01;0.005;2274;<50;45;Muy deteriorada
25;Costa de Villa Domínico     ;AV055;21/3/2018;2018;verano;24.7;;4.24;6.5;;ausente;ausencia;ausencia;2310;1780;200;5.3;0.05;0.5;0.5;5;<10;201;127;0.01;0.005;50;<50;48;Muy deteriorada
26;Arroyo Santo Domingo;AV053;21/3/2018;2018;verano;24.8;;4.49;6.6;;;;;2130;1680;140;4.8;0.05;0.5;0.5;5;<10;97.5;50;0.01;0.005;50;<50;50;
27;Espora 400 m;QU061;21/3/2018;2018;verano;;;;;;;;;;;;;;;;;;;;;;;;;
28;Náutico 400 m;QU062;21/3/2018;2018;verano;;;;;;;;;;;;;;;;;;;;;;;;;
29;Pejerrey Club 400 m;QU063;21/3/2018;2018;verano;;;;;;;;;;;;;;;;;;;;;;;;;Extremadamente deteriorada
30;Calle 14 y Costa - Salida cloaca;BZ078;21/3/2018;2018;verano;20.6;;6.79;7.95;ausencia;ausencia;;ausencia;1820;700;130;7.33;0.05;0.8;0.9;5;11.2;150;2043.5;0.01;0.005;1889;<50;41;Muy deteriorada
31;Puerto Trinidad calle 47;BZ077;21/3/2018;2018;verano;20.4;;8.79;8.33;ausencia;ausencia;;ausencia;1720;620;10;10.47;0.05;0.5;0.5;5;11.2;139.5;78;0.01;0.005;50;<50;57;Extremadamente deteriorada
32;Costanera Hudson Calle 63;BZ080;21/3/2018;2018;verano;20;;9.15;8.49;ausencia;ausencia;;ausencia;2130;780;180;10.11;0.05;0.5;0.5;5;<10;150;50;0.01;0.005;6329;<50;42;Extremadamente deteriorada
33;Camping Eva Perón;EN081;21/3/2018;2018;verano;19.5;;9.5;8.43;ausencia;ausencia;ausencia;;1600;650;10;9.85;0.07;0.5;0.5;5;<10;165;50;0.01;0.005;10226;<50;42;Muy deteriorada
34;Toma de agua Club de Pesca;EN082;21/3/2018;2018;verano;20.02;;6.26;7.64;ausencia;ausencia;ausencia;;2430;1860;230;10.39;0.05;0.5;0.5;5;<10;207;50;0.01;0.005;50;<50;52;Extremadamente deteriorada
35;Arroyo El Gato;EN083;21/3/2018;2018;verano;20;;4.42;7.45;ausencia;ausencia;ausencia;;2510;1910;140;8.58;0.05;0.5;0.5;5;<10;208.5;50;0.01;0.005;9160;<50;39;Extremadamente deteriorada
36;Ensenada Prefectura Isla Santiago;EN084;21/3/2018;2018;verano;20;;7.54;7.74;ausencia;ausencia;ausencia;;2110;1620;150;9.68;0.05;0.5;0.5;5;<10;100.5;50;0.01;0.005;5385;15260;35;Muy deteriorada
37;Balneario Palo Blanco;BS092;21/3/2018;2018;verano;13;;8.67;8.49;ausencia;ausencia;ausencia;presencia;2230;1600;130;9.77;0.05;0.5;0.5;5;14;172.5;50;0.01;0.005;579;<50;47;Muy deteriorada
38;Diagonal 66 (descarga cloaca);BS095;21/3/2018;2018;verano;13;;7.45;8.13;presencia;ausencia;ausencia;presencia;1620;1410;70;9.03;0.05;0.5;0.5;5;<10;78;50;0.01;0.005;50;<50;53;Muy deteriorada
39;Playa La Bagliardi;BS091;21/3/2018;2018;verano;11;;7.46;8.1;ausencia;ausencia;ausencia;ausencia;1990;1490;150;10.38;0.05;0.5;0.5;5;22.3;147;50;0.01;0.005;1068;<50;48;Muy deteriorada
