año,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua,campaña_invierno,campaña_otono,campaña_primavera,campaña_verano
2013,10.3,14.5,0.7,7.9,0,0,0,0,130.0,130.0,300.0,7.56,1.18,0.36,0.37,5.0,31.0,39.3,50.0,0.006,0.002,10.0,0.5,62.0,2,1,0,0,0
2013,10.5,14.5,0.5,7.5,0,0,0,0,490.0,230.0,300.0,6.04,0.98,0.36,0.37,5.0,30.0,39.3,50.0,0.006,0.002,10.0,0.5,50.0,2,1,0,0,0
2013,10.6,14.5,0.5,7.5,0,0,0,0,34.8,34.8,300.0,3.61,7.47,0.36,0.37,5.0,48.0,39.3,50.0,0.006,0.002,10.0,0.5,27.0,3,1,0,0,0
2013,10.4,14.5,0.7,7.4,0,0,0,0,330.0,230.0,300.0,8.37,0.85,0.36,0.37,5.0,30.0,39.3,50.0,0.006,0.002,10.0,0.5,54.0,2,1,0,0,0
2013,10.3,14.5,0.8,7.5,0,0,0,0,91.8,91.8,300.0,10.97,7.29,0.36,0.37,5.0,41.0,39.3,50.0,0.006,0.002,10.0,0.5,26.0,3,1,0,0,0
2013,10.0,14.5,0.7,7.8,0,0,0,0,172.0,172.0,300.0,7.75,18.85,0.36,0.37,5.0,61.0,39.3,50.0,0.006,0.002,10.0,0.5,26.0,3,1,0,0,0
2013,10.4,14.5,0.8,7.5,0,0,0,0,91.8,91.8,300.0,6.21,4.43,0.36,0.37,5.0,44.0,39.3,50.0,0.006,0.002,10.0,0.5,26.0,3,1,0,0,0
2013,10.5,14.5,0.6,7.6,0,0,0,0,490.0,330.0,300.0,3.46,0.66,0.36,0.37,5.0,30.0,39.3,50.0,0.006,0.002,10.0,0.5,52.0,2,1,0,0,0
2013,10.5,14.5,0.7,7.4,0,0,0,0,230.0,130.0,300.0,2.78,1.11,0.36,0.37,5.0,30.0,39.3,50.0,0.006,0.002,10.0,0.5,54.0,2,1,0,0,0
2013,20.0,14.5,0.5,7.9,0,0,0,0,91.8,91.8,300.0,5.81,8.59,0.36,0.37,5.0,45.0,39.3,50.0,0.006,0.002,10.0,0.5,21.0,3,1,0,0,0
