"orden";"sitio";"gobierno_local";"codigo";"fecha";"año";"campaña";"oxigeno_disuelto";"amonio_mg_l";"colif_fecales_nmp_100ml";"colif_totales_nmp_100ml";"escher_coli_nmp_100ml";"nitratos_mg_l";"ph";"temperatura_ºc";"solidos_disueltos_mg_l";"fosforo_total_mg_l";"conductividad_ms_cm";"ica";"clase_ica"
"1";"Barrio El Ceibo";"Vicente López";"VL033";"1/1/2006";"2006";"Verano";"5.7";"0.14";"no se midió";"3300";"200";"no se midió";"7.4";"29.3";"no se midió";"no se midió";"272";"100";"Apta de acuerdo a las variables analizadas"
"2";"Escollera de Propaneros";"Avellaneda";"AV054";"14/2/2006";"2006";"Verano";"7.6";"422";"50000";"50000";"no se midió";"2.6";"7.3";"27.2";"no se midió";"no se midió";"no se midió";"34";"Extremadamente deteriorada"
"3";"Polo Petroquímico Dock Sud";"Avellaneda";"AV051";"14/2/2006";"2006";"Verano";"8";"1.495";"11000";"34000";"no se midió";"2";"7.6";"26.5";"no se midió";"no se midió";"no se midió";"38";"Extremadamente deteriorada"
"4";"Arroyo Sarandí";"Avellaneda";"AV052";"14/2/2006";"2006";"Verano";"6.4";"68";"11000";"11000";"no se midió";"3.5";"7.6";"26.3";"no se midió";"no se midió";"no se midió";"35";"Extremadamente deteriorada"
"5";"Costa de Villa Domínico";"Avellaneda";"AV055";"14/2/2006";"2006";"Verano";"6.2";"46";"4000";"5000";"no se midió";"3.4";"7.7";"26.3";"no se midió";"no se midió";"no se midió";"36";"Extremadamente deteriorada"
"6";"Arroyo Santo Domingo";"Avellaneda";"AV053";"14/2/2006";"2006";"Verano";"6.3";"41";"7000";"13000";"no se midió";"3.1";"7.8";"26.3";"no se midió";"no se midió";"no se midió";"36";"Extremadamente deteriorada"
"7";"Toma de agua Club de Pesca";"Ensenada";"EN082";"14/2/2006";"2006";"Verano";"8.4";"no se midió";"2300";"3000";"no se midió";"no se midió";"7.7";"26.1";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"8";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"14/2/2006";"2006";"Verano";"8.6";"no se midió";"30000";"30000";"no se midió";"no se midió";"7.7";"27.6";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"9";"Playa La Balandra";"Berisso";"BS093";"13/2/2006";"2006";"Verano";"7.9";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"8.3";"27.2";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"1";"Canal Villa Nueva y Río Luján";"Tigre";"TI001";"26/4/2006";"2006";"Otoño";"no se midió";"0.35";"4600";"4600";"460";"1.6";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"36";"Extremadamente deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"Tigre";"TI006";"26/4/2006";"2006";"Otoño";"no se midió";"0.7";"2400";"4600";"2400";"1.4";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"23";"Extremadamente deteriorada"
"3";"Canal Aliviador y Río Lujan";"Tigre";"TI002";"26/4/2006";"2006";"Otoño";"no se midió";"1.3";"11000";"24000";"1100";"1.4";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"18";"Extremadamente deteriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"Tigre";"TI003";"26/4/2006";"2006";"Otoño";"no se midió";"0.6";"11000";"24000";"2400";"1.2";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"18";"Extremadamente deteriorada"
"5";"Río Reconquista y Río Lujan";"Tigre";"TI004";"26/4/2006";"2006";"Otoño";"no se midió";"2.9";"46000";"110000";"4600";"1.2";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"16";"Extremadamente deteriorada"
"6";"Río Tigre y Río Lujan";"Tigre";"TI005";"26/4/2006";"2006";"Otoño";"no se midió";"3.6";"1100000";"2400000";"150000";"1";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"16";"Extremadamente deteriorada"
"7";"Río Lujan y Canal San Fernando";"Tigre";"TI007";"26/4/2006";"2006";"Otoño";"no se midió";"3.7";"460000";"460000";"75000";"1.1";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"16";"Extremadamente deteriorada"
"8";"Río Capitán y Río San Antonio";"Tigre";"TI008";"26/4/2006";"2006";"Otoño";"no se midió";"0.25";"240";"2400";"93";"1.4";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"79";"Deteriorada"
"9";"Arroyo Abra Vieja y Santa Rosa";"Tigre";"TI009";"26/4/2006";"2006";"Otoño";"no se midió";"0.45";"1500";"9300";"460";"1";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"46";"Muy deteriorada"
"10";"Barrio El Ceibo";"Vicente López";"VL033";"25/4/2006";"2006";"Otoño";"3.9";"0.5";"35000";"4900";"9500";"5";"6.9";"20.2";"no se midió";"0.23";"no se midió";"27";"Extremadamente deteriorada"
"11";"Puerto de Olivos Espigón";"Vicente López";"VL032";"25/4/2006";"2006";"Otoño";"3.4";"0.7";"3300";"3300";"3700";"3.6";"6.8";"19";"no se midió";"no se midió";"no se midió";"28";"Extremadamente deteriorada"
"12";"Costa y Melo";"Vicente López";"VL031";"25/4/2006";"2006";"Otoño";"4.2";"0.9";"7900";"7900";"3500";"4.3";"6.9";"18.5";"no se midió";"0.29";"no se midió";"22";"Extremadamente deteriorada"
"13";"Parque de los Niños";"CABA";"CA041";"25/4/2006";"2006";"Otoño";"no se midió";"1";"11000";"24000";"4600";"3.2";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"18";"Extremadamente deteriorada"
"14";"Frente a la toma de agua AySA";"CABA";"CA043";"25/4/2006";"2006";"Otoño";"no se midió";"0.85";"75000";"7500000";"1100";"3.7";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"16";"Extremadamente deteriorada"
"15";"Costanera Norte - Espigon Abanico";"CABA";"CA044";"25/4/2006";"2006";"Otoño";"3.9";"1.405";"2300";"7900";"no se midió";"2.6";"7.8";"20.4";"no se midió";"no se midió";"no se midió";"36";"Extremadamente deteriorada"
