"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"od";"ph";"colif_totales_ufc_100ml";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"sol_disueltos_tot_mg_l";"fósforo_total_mg_l";"conductividad_ms_cm";"clorofila_a_µg_l";"turbidez_ntu";"cromo_mg_l";"plomo_mg_l"
"1";"Toma de agua Club de Pesca";"Ensenada";"EN082";"13/2/2007";"2007";"verano";"23,4";"7,4";"8,1";"17.000";"11.000";"";"";"";"";"";"";"";"";"";""
"2";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"13/2/2007";"2007";"verano";"25,5";"7,1";"7,5";"50.000";"11.000";"";"";"";"";"";"";"";"";"";""
"3";"Reserva Barrio El Ceibo ";"Vicente López";"VL033";"1/3/2007";"2007";"verano";"25,7";"";"";"79.000";"13.000";"1.200";"0,46";"";"167";"0,46";"0,35";"6,53";"98";"";""
"4";"Puerto de Olivos Espigón";"Vicente López";"VL032";"1/3/2007";"2007";"verano";"24,8";"";"";"170.000";"79.000";"3.600";"";"";"149";"0,34";"0,31";"0,73";"14";"";""
"5";"Costa y Melo";"Vicente López";"VL031";"1/3/2007";"2007";"verano";"23,9";"";"";"540.000";"240.000";"4.800";"";"";"170";"0,51";"0,35";"4,33";"82";"";""
"6";"Reserva Barrio El Ceibo ";"Vicente López";"VL033";"1/10/2007";"2007";"primavera";"22,4";"";"";"18.000";"800";"65";"<1,0";"1,3";"127";"";"0,27";"";"69,7";"<0,010";"<0,025"
"7";"Puerto de Olivos Espigón";"Vicente López";"VL032";"1/10/2007";"2007";"primavera";"22,3";"";"";"11.000";"11.000";"120";"<1,0";"1,3";"175";"";"0,35";"";"56,1";"<0,010";"<0,025"
"8";"Costa y Melo";"Vicente López";"VL031";"1/10/2007";"2007";"primavera";"22,3";"";"";"240.000";"240.000";"380";"<1,0";"0,85";"196";"";"0,41";"";"34,2";"<0,010";"<0,025"
"9";"Toma de agua Club de Pesca";"Ensenada";"EN082";"30/10/2007";"2007";"primavera";"21,7";"8,2";"7,9";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"30/10/2007";"2007";"primavera";"22,2";"8,2";"7,6";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Reserva Barrio El Ceibo ";"Vicente López";"VL033";"1/12/2007";"2007";"primavera";"26,1";"";"";"800";"<2,0";"";"3,2";"1,7";"162";"";"0,34";"";"73,7";"0,029";"<0,025"
"12";"Puerto de Olivos Espigón";"Vicente López";"VL032";"1/12/2007";"2007";"primavera";"26,8";"";"";"7.900";"400";"";"3,8";"1,3";"147";"";"0,31";"";"37,8";"0,014";"<0,025"
"13";"Costa y Melo";"Vicente López";"VL031";"1/12/2007";"2007";"primavera";"26,7";"";"";"35.000";"400";"";"6,8";"1,7";"149";"";"0,31";"";"44,3";"0,026";"<0,025"
