"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"ph";"colif_totales_nmp_100ml";"colif_fecales_nmp_100ml";"nitrato_mg_l"
"1";"Toma de agua Club de Pesca";"Ensenada";"EN082";"9/2/2008";"2008";"verano";"16";"7.4";"no se midió";"no se midió";"no se midió"
"2";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"9/2/2008";"2008";"verano";"16";"7.2";"no se midió";"no se midió";"no se midió"
"3";"Costa y Melo";"Vicente López";"VL033";"1/3/2008";"2008";"verano";"23.3";"no se midió";"no se midió";"no se midió";"no se midió"
"4";"Puerto de Olivos Espigón";"Vicente López";"VL032";"1/3/2008";"2008";"verano";"22.9";"no se midió";"no se midió";"no se midió";"no se midió"
"5";"Reserva Barrio El Ceibo";"Vicente López";"VL031";"1/3/2008";"2008";"verano";"21.7";"no se midió";"no se midió";"no se midió";"no se midió"
"6";"Espora 500m";"Quilmes";"QU061a";"11/3/2008";"2008";"verano";"no se midió";"7.1";"33000";"3300";"7.5"
"7";"Espora 1500 m";"Quilmes";"QU061c";"11/3/2008";"2008";"verano";"no se midió";"6.1";"49000";"240";"6.2"
"8";"Náutico 500m";"Quilmes";"QU062a";"11/3/2008";"2008";"verano";"no se midió";"7.1";"33000";"350";"3.5"
"9";"Náutico 1500 m";"Quilmes";"QU062c";"11/3/2008";"2008";"verano";"no se midió";"7.2";"49000";"130";"5.7"
"10";"Pejerrey Club 500 m";"Quilmes";"QU063a";"11/3/2008";"2008";"verano";"no se midió";"7.1";"49000";"2400";"6.2"
"11";"Pejerrey Club 1500 m";"Quilmes";"QU063c";"11/3/2008";"2008";"verano";"no se midió";"7.1";"7000";"350";"6.6"
"12";"Toma de agua Club de Pesca";"Ensenada";"EN082";"18/3/2008";"2008";"verano";"22.6";"7.5";"no se midió";"no se midió";"no se midió"
"13";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"18/3/2008";"2008";"verano";"23.7";"7.1";"no se midió";"no se midió";"no se midió"
"1";"Toma de agua Club de Pesca";"Ensenada";"EN082";"13/5/2008";"2008";"otoño";"17.2";"7.5";"no se midió";"no se midió";"no se midió"
"2";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"13/5/2008";"2008";"otoño";"17.2";"7.5";"no se midió";"no se midió";"no se midió"
"1";"Costa y Melo";"Vicente López";"VL031";"2/9/2008";"2008";"invierno";"17.7";"no se midió";"no se midió";"no se midió";"no se midió"
"2";"Puerto de Olivos Espigón";"Vicente López";"VL032";"2/9/2008";"2008";"invierno";"17.8";"no se midió";"no se midió";"no se midió";"no se midió"
"3";"Reserva Barrio El Ceibo";"Vicente López";"VL033";"2/9/2008";"2008";"invierno";"17.5";"no se midió";"no se midió";"no se midió";"no se midió"
"4";"Espora 500m";"Quilmes";"QU061a";"2/9/2008";"2008";"invierno";"no se midió";"6.7";"1700";"110";"8"
"5";"Espora 1000 m";"Quilmes";"QU061b";"2/9/2008";"2008";"invierno";"no se midió";"7.1";"170";"40";"6"
"6";"Espora 1500 m";"Quilmes";"QU061c";"2/9/2008";"2008";"invierno";"no se midió";"no se midió";"17000";"80";"no se midió"
"7";"Náutico 500m";"Quilmes";"QU062a";"2/9/2008";"2008";"invierno";"no se midió";"6.7";"24000";"130";"11"
"8";"Náutico 1000m";"Quilmes";"QU062b";"2/9/2008";"2008";"invierno";"no se midió";"6.6";"20";"4";"3"
"9";"Náutico 1500m";"Quilmes";"QU062c";"2/9/2008";"2008";"invierno";"no se midió";"6.5";"1700";"20";"9"
"10";"Pejerrey Club 500 m";"Quilmes";"QU063a";"2/9/2008";"2008";"invierno";"no se midió";"6.7";"14000";"490";"7"
"11";"Pejerrey Club 1000 m";"Quilmes";"QU063b";"2/9/2008";"2008";"invierno";"no se midió";"7.1";"160000000";"20";"43"
"12";"Pejerrey Club 1500 m";"Quilmes";"QU063c";"2/9/2008";"2008";"invierno";"no se midió";"no se midió";"54000000";"230";"2"
"1";"Costa y Melo";"Vicente López";"VL031";"28/10/2008";"2008";"primavera";"19";"no se midió";"13000";"3000";"no se midió"
"2";"Puerto de Olivos Espigón";"Vicente López";"VL032";"28/10/2008";"2008";"primavera";"19.5";"no se midió";"2300";"1300";"no se midió"
"3";"Reserva Barrio El Ceibo";"Vicente López";"VL033";"28/10/2008";"2008";"primavera";"19.2";"no se midió";"3400";"400";"no se midió"
"4";"Toma de agua Club de Pesca";"Ensenada";"EN082";"16/12/2008";"2008";"primavera";"24.7";"7";"no se midió";"no se midió";"no se midió"
"5";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"16/12/2008";"2008";"primavera";"24.7";"7.2";"no se midió";"no se midió";"no se midió"
