"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"od";"ph";"colif_totales_nmp_100ml";"colif_fecales_nmp_100ml";"escher_coli_nmp_100ml";"nitrato_mg_l";"nh4_mg_l";"dqo_mg_l";"ica";"clase_ica"
"1";"Canal Villanueva y Río Luján";"Tigre";"TI001";"26/3/2014";"2014";"verano";"22";"6.68";"8.04";"2300";"2300";"<300";"2.9";"0.15";"-";"61";"Muy deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"Tigre";"TI006";"26/3/2014";"2014";"verano";"20";"6.13";"7.91";"2300";"2300";"400";"7.5";"0.14";"-";"54";"Muy deteriorada"
"3";"Canal Aliviador y Río Lujan";"Tigre";"TI002";"26/3/2014";"2014";"verano";"22";"2.99";"8.23";"46000";"46000";"700";"12";"8.6";"-";"30";"Extremadamente deteriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"Tigre";"TI003";"26/3/2014";"2014";"verano";"21";"4.95";"7.82";"900";"900";"900";"2.9";"0.62";"-";"53";"Muy deteriorada"
"5";"Río Reconquista y Río Lujan";"Tigre";"TI004";"26/3/2014";"2014";"verano";"21";"4.54";"8.07";"46000";"15000";"400";"9.2";"4.77";"-";"32";"Extremadamente deteriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"Tigre";"TI005";"26/3/2014";"2014";"verano";"22";"8.33";"8.21";"110000";"110000";"4300";"13.2";"5.8";"-";"37";"Extremadamente deteriorada"
"7";"Río Lujan y Canal San Fernando";"Tigre";"TI007";"26/3/2014";"2014";"verano";"22";"3.12";"8.13";"4300";"4300";"<300";"2.6";"8.99";"-";"35";"Extremadamente deteriorada"
"8";"Río Capitán y Río San Antonio";"Tigre";"TI008";"26/3/2014";"2014";"verano";"20";"7.48";"8.3";"900";"900";"400";"2.2";"0.03";"-";"75";"Deteriorada"
"9";"Arroyo Abra Vieja y Santa Rosa";"Tigre";"TI009";"26/3/2014";"2014";"verano";"20";"6.44";"7.89";"1500";"1500";"<300";"1.5";"0.17";"-";"59";"Muy deteriorada"
"10";"Del Arca";"San Fernando";"SF015";"26/3/2014";"2014";"verano";"22";"4.65";"7.44";"46000";"24000";"<300";"6.4";"1.29";"-";"31";"Extremadamente deteriorada"
"11";"Espigón La Farola";"San Isidro";"SI021";"26/3/2014";"2014";"verano";"21.3";"8.26";"7.76";"2300";"900";"<300";"5.9";"0.31";"-";"75";"Deteriorada"
"12";"Reserva Ecológica";"San Isidro";"SI022";"26/3/2014";"2014";"verano";"21.5";"6.83";"7.49";"2300";"400";"400";"9.7";"0.41";"-";"84";"Levemente deteriorada"
"13";"Playa Espigón de Pacheco";"San Isidro";"SI024";"26/3/2014";"2014";"verano";"22";"8.04";"7.85";"46000";"24000";"<300";"13.1";"8.93";"-";"38";"Extremadamente deteriorada"
"14";"Perú Puente";"San Isidro";"SI023";"26/3/2014";"2014";"verano";"21.6";"2.42";"7.53";"2300";"2300";"<300";"15.5";"1.54";"-";"42";"Extremadamente deteriorada"
"15";"Reserva Barrio El Ceibo ";"Vicente López";"VL033";"26/3/2014";"2014";"verano";"21.3";"7.8";"7.85";"9300";"9300";"<300";"13.1";"4.3";"-";"41";"Extremadamente deteriorada"
"16";"Puerto de Olivos Espigón";"Vicente López";"VL032";"26/3/2014";"2014";"verano";"21.1";"6.5";"7.61";"9300";"9300";"2100";"11.2";"0.53";"-";"42";"Extremadamente deteriorada"
"17";"Costa y Melo";"Vicente López";"VL031";"26/3/2014";"2014";"verano";"21.1";"7";"7.8";"240000";"46000";"<300";"9.6";"0.77";"-";"37";"Extremadamente deteriorada"
"18";"Parque de los Niños";"CABA";"CA041";"12/2/2014";"2014";"verano";"27.2";"3.08";"7.13";"200000";"42000";"42000";"3";"0.8";"-";"31";"Extremadamente deteriorada"
"19";"Mirador toma de agua";"CABA";"CA043";"12/2/2014";"2015";"verano";"26.1";"3.56";"7.12";"150000";"25000";"15000";"3";"0.9";"-";"31";"Extremadamente deteriorada"
"20";"Costanera Norte - Espigón Abanico";"CABA";"CA044";"12/2/2014";"2014";"verano";"27.2";"3.89";"7.07";"140000";"50000";"19000";"4";"1";"-";"30";"Extremadamente deteriorada"
"21";"Club de Pescadores";"CABA";"CA046";"12/2/2014";"2014";"verano";"26.8";"3.73";"7.15";"400000";"35000";"35000";"5";"0.5";"-";"38";"Extremadamente deteriorada"
"22";"Reserva Ecológica Costanera Sur - Playita";"CABA";"CA047";"12/2/2014";"2014";"verano";"28.3";"4.12";"7.65";"40000";"13000";"4000";"4";"0.3";"-";"41";"Extremadamente deteriorada"
"23";"Escollera de Propaneros";"Avellaneda";"AV054";"26/3/2014";"2014";"verano";"23.8";"3.75";"7.35";"4300";"4300";"700";"13.7";"5.92";"-";"36";"Extremadamente deteriorada"
"24";"Polo Petroquímico Dock Sud";"Avellaneda";"AV051";"26/3/2014";"2014";"verano";"22.7";"9.72";"7.25";"4300";"4300";"<300";"4.5";"9.74";"-";"35";"Extremadamente deteriorada"
"25";"Arroyo Sarandí";"Avellaneda";"AV052";"26/3/2014";"2014";"verano";"22.7";"3.82";"7.28";"110000";"110000";"400";"5.7";"1.9";"-";"30";"Extremadamente deteriorada"
"26";"Costa de Villa Domínico     ";"Avellaneda";"AV055";"26/3/2014";"2014";"verano";"21.9";"4.2";"7.18";"400";"400";"<300";"30";"1.01";"-";"56";"Muy deteriorada"
"27";"Arroyo Santo Domingo";"Avellaneda";"AV053";"26/3/2014";"2014";"verano";"22.1";"4.12";"7.3";"9300";"9300";"<300";"8.3";"0.91";"-";"35";"Extremadamente deteriorada"
"28";"Espora 400 m";"Quilmes";"QU061";"26/3/2014";"2014";"verano";"15.6";"6.78";"5.84";"400";"400";"400";"19.2";"0.47";"-";"84";"Levemente deteriorada"
"29";"Náutico 400 m";"Quilmes";"QU062";"26/3/2014";"2014";"verano";"15.6";"6.78";"5.86";"400";"400";"400";"8.6";"0.45";"-";"84";"Levemente deteriorada"
"30";"Pejerrey Club 400 m";"Quilmes";"QU063";"26/3/2014";"2014";"verano";"15.5";"6.82";"5.87";"900";"900";"<300";"10.8";"0.61";"-";"65";"Deteriorada"
"31";"Calle 14 y Costa - Salida cloaca";"Berazategui";"BZ078";"26/3/2014";"2014";"verano";"20.7";"11.3";"no se midió";"2300";"2300";"900";"7.6";"0.6";"-";"37";"Extremadamente deteriorada"
"32";"Puerto Trinidad calle 47";"Berazategui";"BZ077";"26/3/2014";"2014";"verano";"21.1";"8.7";"no se midió";"<300";"<300";"<300";"9.7";"0.53";"-";"51";"Muy deteriorada"
"33";"Costanera Hudson Calle 63";"Berazategui";"BZ080";"26/3/2014";"2014";"verano";"21.9";"9.1";"no se midió";"900";"900";"<300";"10.3";"0.13";"-";"59";"Muy deteriorada"
"34";"Camping Eva Perón";"Ensenada";"EN081";"26/3/2014";"2014";"verano";"20.6";"9.15";"8.32";"9300";"<300";"<300";"11.8";"1.23";"-";"57";"Muy deteriorada"
"35";"Toma de agua Club de Pesca";"Ensenada";"EN082";"26/3/2014";"2014";"verano";"21.2";"6.63";"7.79";"<300";"<300";"<300";"11.4";"1.25";"-";"69";"Deteriorada"
"36";"Arroyo El Gato";"Ensenada";"EN083";"26/3/2014";"2014";"verano";"21.6";"0.51";"7.74";"24000";"9300";"<300";"<0.2";"12.14";"-";"33";"Extremadamente deteriorada"
"37";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"26/3/2014";"2014";"verano";"20.7";"7.16";"7.86";"<300";"<300";"<300";"13.8";"0.2";"-";"86";"Levemente deteriorada"
"38";"Diagonal 66 (descarga cloaca)";"Berisso";"BS095";"26/3/2014";"2014";"verano";"21.6";"5.73";"7.7";"<300";"<300";"<300";"3.8";"9.43";"-";"40";"Extremadamente deteriorada"
"39";"Balneario Municipal";"Berisso";"BS094";"26/3/2014";"2014";"verano";"21.2";"8.5";"8.03";"<300";"<300";"<300";"<0.2";"0.04";"-";"86";"Levemente deteriorada"
"40";"Playa La Balandra";"Berisso";"BS093";"26/3/2014";"2014";"verano";"20.9";"8.52";"7.99";"110000";"4300";"<300";"7.1";"0.05";"-";"48";"Muy deteriorada"
"1";"Canal Villa Nueva y Río Luján";"Tigre";"TI001";"27/8/2014";"2014";"invierno";"16";"8.49";"7.45";"2300";"< 300";"< 300";"1.5";"0.3";"35";"86";"Levemente deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"Tigre";"TI006";"27/8/2014";"2014";"invierno";"16";"8.02";"7.45";"15000";"< 300";"< 300";"17";"1.3";"20";"69";"Deteriorada"
"3";"Canal Aliviador y Río Lujan";"Tigre";"TI002";"27/8/2014";"2014";"invierno";"16";"8.47";"7.43";"1500";"< 300";"< 300";"1.5";"2";"28";"65";"Deteriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"Tigre";"TI003";"27/8/2014";"2014";"invierno";"15";"8.05";"7.48";"4800";"900";"< 300";"10";"1";"27";"63";"Muy deteriorada"
"5";"Río Reconquista y Río Lujan";"Tigre";"TI004";"27/8/2014";"2014";"invierno";"15";"8.41";"7.53";"9300";"< 300";"< 300";"64";"1.25";"28";"69";"Deteriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"Tigre";"TI005";"27/8/2014";"2014";"invierno";"12";"8.58";"6.92";"4800";"< 300";"< 300";"4.5";"1.25";"29";"57";"Muy deteriorada"
