"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"od";"ph";"colif_totales_nmp_100ml";"colif_fecales_nmp_100ml";"escher_coli_sin_filtrar_ufc_100ml";"escher_coli_filtrada_ufc_100ml";"nitrato_mg_l";"amonio_mg_l";"dbo_mg_l";"dqo_mg_l"
"1";"Canal Villa Nueva y Río Luján";"Tigre";"TI001";"No se muestreó";"2015";"verano";"";"";"";"";"";"";"";"";"";"";""
"2";"Río Lujan y Arroyo Caraguatá";"Tigre";"TI006";"No se muestreó";"2015";"verano";"";"";"";"";"";"";"";"";"";"";""
"3";"Canal Aliviador y Río Lujan";"Tigre";"TI002";"No se muestreó";"2015";"verano";"";"";"";"";"";"";"";"";"";"";""
"4";"Río Carapachay y Arroyo Gallo Fiambre";"Tigre";"TI003";"No se muestreó";"2015";"verano";"";"";"";"";"";"";"";"";"";"";""
"5";"Río Reconquista y Río Lujan";"Tigre";"TI004";"No se muestreó";"2015";"verano";"";"";"";"";"";"";"";"";"";"";""
"6";"Rio Tigre 100m antes del Rio Luján";"Tigre";"TI005";"No se muestreó";"2015";"verano";"";"";"";"";"";"";"";"";"";"";""
"7";"Río Lujan y Canal San Fernando";"Tigre";"TI007";"No se muestreó";"2015";"verano";"";"";"";"";"";"";"";"";"";"";""
"8";"Río Capitán y Río San Antonio";"Tigre";"TI008";"No se muestreó";"2015";"verano";"";"";"";"";"";"";"";"";"";"";""
"9";"Arroyo Abra Vieja y Santa Rosa";"Tigre";"TI009";"No se muestreó";"2015";"verano";"";"";"";"";"";"";"";"";"";"";""
"10";"Del Arca";"San Fernando";"SF015";"No se muestreó";"2015";"verano";"";"";"";"";"";"";"";"";"";"";""
"11";"Espigón La Farola";"San Isidro";"SI021";"11/3/2015";"2015";"verano";"28";"4.54";"7.87";"1600";"";"";"";"";"";"";""
"12";"Reserva Ecológica";"San Isidro";"SI022";"11/3/2015";"2015";"verano";"29";"5.57";"7.92";"1600";"";"";"";"";"";"";""
"13";"Playa Espigón de Pacheco";"San Isidro";"SI024";"No se muestreó";"2015";"verano";"";"";"";"";"";"";"";"";"";"";""
"14";"Perú Puente";"San Isidro";"SI023";"11/3/2015";"2015";"verano";"26";"4.98";"8.01";"2400";"";"";"";"";"";"";""
"15";"Reserva Barrio El Ceibo ";"Vicente López";"VL033";"11/3/2015";"2015";"verano";"30";"7.3";"6.8";"23";"23";"";"";"4.4";"<0.04";"";""
"16";"Puerto de Olivos Espigón";"Vicente López";"VL032";"11/3/2015";"2015";"verano";"27";"5.3";"7.51";"23";"23";"";"";"2.7";"<0.04";"";""
"17";"Costa y Melo";"Vicente López";"VL031";"11/3/2015";"2015";"verano";"29";"7.3";"8.4";"23";"23";"";"";"3.6";"<0.04";"";""
"18";"Parque de los Niños";"CABA";"CA041";"No se muestreó";"2015";"verano";"";"";"";"";"";"";"";"";"";"";""
"19";"Costanera Norte - Espigón Abanico";"CABA";"CA044";"No se muestreó";"2015";"verano";"";"";"";"";"";"";"";"";"";"";""
"20";"Club de Pescadores";"CABA";"CA046";"No se muestreó";"2015";"verano";"";"";"";"";"";"";"";"";"";"";""
"21";"Reserva Ecológica Costanera Sur - Playita";"CABA";"CA047";"No se muestreó";"2015";"verano";"";"";"";"";"";"";"";"";"";"";""
