"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"od";"ph";"colif_totales_ufc_100ml";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"dqo_mg_l";"ica";"clase_ica"
"1";"Canal Villanueva y Río Luján";"Tigre";"TI001";"30/3/2016";"2016";"verano";"no se midió";"no se midió";"no se midió";"20000";"15000";"600";"3.99";"<0.05";"25";"31";"Extremadamente deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"Tigre";"TI006";"30/3/2016";"2016";"verano";"no se midió";"no se midió";"no se midió";"120000";"23000";"200";"5.32";"<0.05";"14";"30";"Extremadamente deteriorada"
"3";"Canal Aliviador y Río Lujan";"Tigre";"TI002";"30/3/2016";"2016";"verano";"no se midió";"no se midió";"no se midió";"70000";"10000";"700";"4.43";"0.12";"<10";"32";"Extremadamente deteriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"Tigre";"TI003";"30/3/2016";"2016";"verano";"no se midió";"no se midió";"no se midió";"40000";"10000";"400";"3.99";"<0.05";"18";"32";"Extremadamente deteriorada"
"5";"Río Reconquista y Río Lujan";"Tigre";"TI004";"30/3/2016";"2016";"verano";"no se midió";"no se midió";"no se midió";"165000";"4500";"4200";"9.3";"0.3";"48";"18";"Extremadamente deteriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"Tigre";"TI005";"30/3/2016";"2016";"verano";"no se midió";"no se midió";"no se midió";"360000";"36000";"30000";"18.61";"0.77";"60";"16";"Extremadamente deteriorada"
"7";"Río Lujan y Canal San Fernando";"Tigre";"TI007";"30/3/2016";"2016";"verano";"no se midió";"no se midió";"no se midió";"420000";"35000";"30000";"15.06";"0.29";"10";"16";"Extremadamente deteriorada"
"8";"Río Capitán y Río San Antonio";"Tigre";"TI008";"30/3/2016";"2016";"verano";"no se midió";"no se midió";"no se midió";"56000";"7000";"100";"6.2";"<0.05";"14";"43";"Extremadamente deteriorada"
"9";"Arroyo Abra Vieja y Santa Rosa";"Tigre";"TI009";"30/3/2016";"2016";"verano";"no se midió";"no se midió";"no se midió";"40000";"10000";"100";"5.76";"<0.05";"71";"42";"Extremadamente deteriorada"
"10";"Del Arca";"San Fernando";"SF015";"30/3/2016";"2016";"verano";"23";"3.85";"7.68";"82000";"35000";"3000";"-";"0.27";"<10";"30";"Extremadamente deteriorada"
"11";"Espigón La Farola";"San Isidro";"SI021";"30/3/2016";"2016";"verano";"23";"4.92";"7.66";"23000";"400";"400";"7.09";"0.23";"14";"59";"Muy deteriorada"
